Model,RMSE,MAE,R2,MAPE,MSE,Max_Error,RMSE_Rank,MAE_Rank,R2_Rank
RIDGE,0.6788720825758573,0.5278483499447396,0.6345048598270141,3.3442973883783056,0.46086730450088154,4.073228437469151,2.0,2.0,2.0
LASSO,0.6785882232314324,0.5275039102033386,0.6348104476483956,3.3421966598106296,0.4604819767083923,4.068414227413051,1.0,1.0,1.0
